date,Open,High,Low,close,Volume,,,,
2020-03-12T00:00:00,0,11417.78,11417.78,11417.78,3300,,12,03,2020
2020-03-16T00:00:00,0,11165.35,11000,11000,12016,,16,03,2020
2020-03-17T00:00:00,0,11087.67,11087.67,11087.67,1288,,17,03,2020
2020-03-18T00:00:00,0,10767.28,10767.28,10767.28,1326,,18,03,2020
2020-03-19T00:00:00,0,10600,10454.65,10454.65,2638,,19,03,2020
2020-03-20T00:00:00,0,10361.44,10300,10300,12758,,20,03,2020
2020-03-23T00:00:00,0,10100,10000,10020.23,369452,,23,03,2020
2020-03-25T00:00:00,0,9815.79,9815.79,9815.79,2912,,25,03,2020
2020-03-26T00:00:00,0,9815.79,9534.23,9534.23,6795,,26,03,2020
2020-03-27T00:00:00,0,9534.23,9534,9534,25998,,27,03,2020
2020-03-30T00:00:00,0,10721.47,9534,9534,4983,,30,03,2020
2020-03-31T00:00:00,0,9530,9530,9530,13917,,31,03,2020
2020-04-01T00:00:00,0,9535,9530,9535,11309,,01,04,2020
2020-04-03T00:00:00,0,9730,9730,9730,2051,,03,04,2020